forename,surname,name prefix,initials,party
Roy,Aalst,van,R.R.,PVV
Fleur,Agema,,M.,PVV
Mustafa,Amhaouch,,M.,CDA
Khadija,Arib,,K.,PvdA
Femke Merel,Arissen,,F.M.,PvdD
Tamara,Ark,van,T.,VVD
Lodewijk,Asscher,,L.F.,PvdA
Farid,Azarkan,,F.,DENK
Malik,Azmani,,M.,VVD
Thierry,Baudet,,T.H.P.,FvD
Bente,Becker,,B.,VVD
Sandra,Beckerman,,S.M.,SP
Harm,Beertema,,H.J.,PVV
Salima,Belhaj,,S.,D66
Joba,Berg,van den,J.A.M.J.,CDA
Vera,Bergkamp,,V.A.,D66
Roelof,Bisschop,,R.,SGP
Albert,Bosch,van den,A.,VVD
Martin,Bosma,,M.,PVV
André,Bosman,,A.,VVD
Achraf,Bouali,,A.,D66
Corrie,Brenk,van,C.M.,50PLUS
Han,Broeke,ten,J.H.,VVD
Eppo,Bruins,,E.E.W.,CU
Hanke,Bruins Slot,,H.G.J.,CDA
Kathalijne,Buitenweg,,K.M.,GL
Chris,Dam,van,C.J.L.,CDA
Sander,Dekker,,S.,VVD
Antje,Diertens,,A.E.,D66
Tony,Dijck,van,A.P.C.,PVV
Gijs,Dijk,van,G.J.,PvdA
Jasper,Dijk,van,J.J.,SP
Elbert,Dijkgraaf,,E.,SGP
Klaas,Dijkhoff,,K.H.D.M.,VVD
Sharon,Dijksma,,S.A.M.,PvdA
Pia,Dijkstra,,P.A.,D66
Remco,Dijkstra,,R.J.,VVD
Jeroen,Dijsselbloem,,J.R.V.A.,PvdA
Carla,Dik-Faber,,R.K.,CU
Isabelle,Diks,,L.I.,GL
Jessica,Eijs,van,J.M.,D66
Zohair,El Yassini,,Z.,VVD
Corinne,Ellemeet,,C.E.,GL
Ingrid,Engelshoven,van,I.K.,D66
Sietse,Fritsma,,S.R.,PVV
Frank,Futselaar,,F.W.,SP
Karen,Gerbrands,,K.,PVV
Jaco,Geurts,,J.L.,CDA
Machiel,Graaf,de,M.,PVV
Rik,Grashoff,,H.J.,GL
Dion,Graus,,D.J.G.,PVV
Tjeerd,Groot,de,T.C.,D66
Maarten,Groothuizen,,M.,D66
Sybrand,Haersma Buma,van,S.,CDA
Mark,Harbers,,M.G.J.,VVD
Pieter,Heerma,,P.E.,CDA
Lilian,Helder,,L.M.J.S.,PVV
Martijn,Helvert,van,M.J.F.,CDA
Jeanine,Hennis-Plasschaert,,J.A.,VVD
Sophie,Hermans,,S.T.M.,VVD
Theo,Hiddema,,T.U.,FvD
Maarten,Hijink,,H.P.M.,SP
Kirsten,Hul,van den,K.A.E.,PvdA
Rob,Jetten,,R.A.A.,D66
Léon,Jong,de,L.W.E.,PVV
Sadet,Karabulut,,S.,SP
Mona,Keijzer,,M.C.G.,CDA
Bart,Kent,van,B.,SP
Jesse,Klaver,,J.F.,GL
Raymond,Knops,,R.W.,CDA
Daniel,Koerhuis,,D.A.N.,VVD
Nine,Kooiman,,C.J.E.,SP
Wouter,Koolmees,,W.,D66
Sven,Koopmans,,S.M.G.,VVD
Alexander,Kops,,A.,PVV
Suzanne,Kröger,,S.C.,GL
Henk,Krol,,H.C.M.,50PLUS
Anne,Kuik,,A.,CDA
Attje,Kuiken,,A.H.,PvdA
Tunahan,Kuzu,,T.,DENK
Peter,Kwint,,J.P.,SP
Cem,Laҫin,,C.,SP
Tom,Lee,van der,T.M.T.,GL
Renske,Leijten,,R.M.,SP
Roald,Linde,van der,R.E.,VVD
Helma,Lodders,,W.J.H.,VVD
Barry,Madlener,,B.,PVV
Vicky,Maeijer,,V.,PVV
Lilian,Marijnissen,,L.M.C.,SP
Gidi,Markuszower,,G.,PVV
Maurits,Martels,von,M.R.H.M.,CDA
Paul,Meenen,van,P.H.,D66
Jan,Middendorp,,J.,VVD
Harry,Molen,van der,H.,CDA
Anne,Mulder,,A.,VVD
Agnes,Mulder,,A.H.,CDA
Edgar,Mulder,,E.,PVV
Henk,Nijboer,,H.,PvdA
Chantal,Nijkerken-de Haan,,C.N.A.,VVD
Michiel,Nispen,van,M.,SP
Bram,Ojik,van,A.,GL
Pieter,Omtzigt,,P.H.,CDA
Foort,Oosten,van,F.,VVD
Esther,Ouwehand,,E.,PvdD
Zihni,Özdil,,Z.,GL
Selçuk,Öztürk,,S.,DENK
Nevin,Özütok,,N.,GL
Jan,Paternotte,,J.M.,D66
Alexander,Pechtold,,A.,D66
René,Peters,,W.P.H.J.,CDA
Lilianne,Ploumen,,E.M.J.,PvdA
Gabriëlle,Popken,,G.J.F.,PVV
Ronald,Raak,van,A.A.G.M.,SP
Lammert,Raan,van,L.,PvdD
Rens,Raemakers,,R.,D66
Emile,Roemer,,E.G.M.,SP
Michel,Rog,,M.R.J.,CDA
Erik,Ronnes,,H.A.G.,CDA
Martin,Rooijen,van,M.J.,50PLUS
Raymond,Roon,de,R.,PVV
Arno,Rutte,,A.C.L.,VVD
Mark,Rutte,,M.,VVD
Léonie,Sazias,,L.,50PLUS
Carola,Schouten,,C.J.,CU
Gert-Jan,Segers,,G.J.M.,CU
Sjoerd,Sjoerdsma,,S.W.,D66
Bart,Snels,,B.A.W.,GL
Kees,Staaij,van der,C.G.,SGP
Ockje,Tellegen,,O.C.,VVD
Marianne,Thieme,,M.L.,PvdD
Liesbeth,Tongeren,van,L.,GL
Madeleine,Toorenburg,van,M.M.,CDA
Stientje,Veldhoven,van,S.,D66
Kees,Verhoeven,,K.,D66
Barbara,Visser,,B.,VVD
Joël,Voordewind,,J.S.,CU
Linda,Voortman,,L.G.J.,GL
Aukje,Vries,de,A.,VVD
Frank,Wassenberg,,F.P.,PvdD
Danai,Weerdenburg,van,V.D.D.,PVV
Lisa,Westerveld,,E.M.,GL
Arne,Weverling,,A.,VVD
Steven,Weyenberg,van,S.P.R.A.,D66
Dennis,Wiersma,,A.D.,VVD
Geert,Wilders,,G.,PVV
Martin,Wörsdörfer,,M.,VVD
Bas,Wout,van 't,B.,VVD
Dilan,Yeşilgöz-Zegerius,,D.,VVD
Erik,Ziengs,,E.,VVD
Halbe,Zijlstra,,H.,VVD
